"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/12/2012","Peoples Coffee Tea","CHECKCARD 11/12 PEOPLES COFFEE AND TEA BERKELEY CA","5.75","debit","Coffee Shops","Hour Monet 7291","",""
"11/12/2012","Torch India","CHECKCARD TORCH OF INDIA VACAVILLE CA ON 11/09","33.05","debit","Restaurants","Hour Monet 7291","",""
"11/12/2012","Country Cheese Coffee","COUNTRY CHEESE COFFEE 11/11 #231629492202 PURCHASE COUNTRY CHEESE COFFEE M BERKELEY CA","18.92","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Fastrak","CHECKCARD 11/10 FASTRAK REBILL 877-2298655 CA","25.00","debit","Auto & Transport","Hour Monet 7291","",""
"11/12/2012","Zipcar","CHECKCARD 11/11 ZIPCAR INC CAMBRIDGE MA","287.42","debit","Rental Car & Taxi","Hour Monet 7291","",""
"11/12/2012","Monterey Market 1550 Hopkins Street","MONTEREY MARKET 11/11 #231600060047 PURCHASE 1550 HOPKINS STREET BERKELEY CA","33.40","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Safeway","SAFEWAY STORE 1954 11/10 #231501949157 PURCHASE 2275 PINE STREET REDDING CA","11.87","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Noodles & Company","CHECKCARD 11/11 WAYSIDE NOODLES SACRAMENTO CA","12.39","debit","Restaurants","Hour Monet 7291","",""
"11/12/2012","Cheese Board Colle","CHECKCARD 11/11 THE CHEESE BOARD COLLE BERKELEY CA","10.50","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Boardmart Snow Surf 1261 Market Street","BOARDMART SNOW SURF & 11/10 #231501039841 PURCHASE 1261 MARKET ST REDDING CA","54.59","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Safeway","SAFEWAY STORE 1954 11/10 #231501949169 PURCHASE 2275 PINE STREET REDDING CA","10.54","debit","Groceries","Hour Monet 7291","",""
"11/12/2012","Au Coquelet Cafe","CHECKCARD AU COQUELET CAFE BERKELEY CA ON 11/07","4.24","debit","Coffee Shops","Hour Monet 7291","",""
"11/12/2012","Sq Five Star","SQ FIVE STAR VIDEO 15","6.00","debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa","",""
"11/10/2012","Sebmf Online Bill","SEBMF ONLINE BILL PAY","132.84","debit","Bills & Utilities","BankAmericard Cash Rewards Signature Visa","",""
"11/09/2012","Ucb Housing Dining","CHECKCARD 1108 UCB HOUSING & DINING SV BERKELEY CA 24391212314207968201004","5.25","debit","Restaurants","Hour Monet 7291","",""
"11/08/2012","Yalis Cafe","CHECKCARD 1106 YALIS CAFE BERKELEY CA 24692162312000774152890","3.25","debit","Coffee Shops","Hour Monet 7291","",""
"11/08/2012","ATM Withdrawal","BKOFAMERICA ATM 11/08 #000009042 WITHDRWL SHATTUCK-VINE BERKELEY CA","40.00","debit","Cash & ATM","Hour Monet 7291","",""
"11/08/2012","Safeway","SAFEWAY STORE 11/08 #000082046 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","28.99","debit","Groceries","Hour Monet 7291","",""
"11/08/2012","Five Star Video","FIVE STAR VIDEO OF ALA","6.00","debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa","",""
"11/07/2012","Green Earth Cafe","CHECKCARD 1105 GREEN EARTH CAFE & BAK BERKELEY CA 24071052311158191791586","15.32","debit","Restaurants","Hour Monet 7291","",""
"11/06/2012","Uc Berkeley Des","UC Berkeley DES:DIRECT PAY ID:ST23256150 INDN:0000SAVAGE,VALKYRIE AR CO...","2500.00","credit","Paycheck","Hour Monet 7291","",""
"11/06/2012","Cars Dawydiak Se","CHECKCARD 1105 CARS DAWYDIAK INC. - SE SAN FRANCISCOCA...","13.46","debit","Service & Parts","Hour Monet 7291","",""
"11/05/2012","PayPal","PAYPAL DES:INST XFER ID:4S8226DZEH9GS INDN:EVAN STRATFORD CO ID:PAYPALSI66...","10.00","debit","Shopping","my account 0020","",""
"11/05/2012","Clipper Service Ca","CHECKCARD 1101 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"11/05/2012","Sq Five Star","CHECKCARD 1104 SQ *FIVE STAR VIDEO 155 Berkeley CA 24692162309000825171894","6.00","debit","Movies & DVDs","Hour Monet 7291","",""
"11/05/2012","Berkeley Econo Gas","CHECKCARD 1103 BERKELEY ECONO GAS BERKELEY CA 24801972309006000032611","3.84","debit","Gas & Fuel","Hour Monet 7291","",""
"11/05/2012","Bkofamerica ATM Deposit","BKOFAMERICA ATM 11/05 #000008632 DEPOSIT BERKELEY MAIN BERKELEY CA","200.00","credit","Income","Hour Monet 7291","",""
"11/05/2012","Monterey Marke 1550 Hopkins Street","MONTEREY MARKE 11/03 #000766306 PURCHASE 1550 HOPKINS STRE BERKELEY CA","44.80","debit","Groceries","Hour Monet 7291","",""
"11/05/2012","Safeway","SAFEWAY STORE 11/02 #000076086 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","9.25","debit","Groceries","Hour Monet 7291","",""
"11/05/2012","Safeway","SAFEWAY STORE 11/02 #000076086 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","25.10","debit","Groceries","Hour Monet 7291","",""
"11/05/2012","Zipcar","CHECKCARD 1104 ZIPCAR INC 866-494-7227 MA 24231682310200011873293","2.50","debit","Rental Car & Taxi","Hour Monet 7291","",""
"11/05/2012","Double Aa Gas","DOUBLE AA GAS 11/05 #000758400 PURCHASE 1101 JUNIPERO SER San Francisc CA","5.00","debit","Gas & Fuel","Hour Monet 7291","",""
"11/02/2012","Overdraft Fee","Chking Acct Overdraft Settlement Credit","3.64","credit","Bank Fee","my account 0020","",""
